Name,Rating,Review_Count,Price,Cuisine,Latitude,Longitude,Street,City,Zip
Double Wide Grill,3.5,386,$$,Barbeque,40.4285125732422,-79.9713287353516,2339 E Carson St,Pittsburgh, PA 15203
Subba,4.0,127,$,Asian Fusion,40.453438027557,-80.0016119967982,700 Cedar Ave,Pittsburgh, PA 15212
BRGR,3.5,405,$$,Burgers,40.4599150051422,-79.9256637245782,5997 Centre Ave,Pittsburgh, PA 15206
Pear and the Pickle, Cafe & Market,4.5,56,$,Cafes,40.46675,-79.98231,1800 Rialto St,Pittsburgh, PA 15212
Cioppino Restaurant & Cigar Bar,4.0,157,$$$,Seafood,40.4541644107714,-79.9830404050323,2350 Railroad St,Pittsburgh, PA 15222
Pizza Taglio,4.5,113,$$,Pizza,40.46026,-79.92516,126 S Highland Ave,Pittsburgh, PA 15206
Onion Maiden,4.5,60,$$,Vegan,40.4218526,-79.9967605,639 E Warrington Ave,Pittsburgh, PA 15210
All India,4.0,143,$$,Indian,40.4521894,-79.9525714,315 N Craig St,Pittsburgh, PA 15213
OTB Bicycle Café,4.0,202,$$,American (New),40.4274101257324,-79.9690628051758,2518 E Carson St,Pittsburgh, PA 15203
Mallorca Restaurant,3.5,233,$$$,Spanish,40.428224,-79.973376,2228 E Carson St,Pittsburgh, PA 15203
Aladdin's Eatery,4.0,162,$$,Middle Eastern,40.43777,-79.91989,5878 Forbes Ave,Pittsburgh, PA 15217
Tamarind,4.0,204,$$,Indian,40.45115,-79.95197,257 N Craig St,Pittsburgh, PA 15213
Hough's,4.0,171,$$,Sports Bars,40.4262619018555,-79.9403305053711,563 Greenfield Ave,Pittsburgh, PA 15207
Cambod-Ican Kitchen,4.0,108,$$,Cambodian,40.4288852949545,-79.9820696935058,1701 E Carson St,Pittsburgh, PA 15203
Joseph Tambellini Restaurant,4.5,106,$$$,Italian,40.4765815734863,-79.9214401245117,5701 Bryant St,Pittsburgh, PA 15206
Big Shot Bob's House of Wings - Avalon,4.5,83,$,Chicken Wings,40.50376,-80.06179,344 Union Ave,Pittsburgh, PA 15202
Micro Diner,4.0,128,$,Diners,40.4298431477457,-80.0073562969862,221 Shiloh St,Pittsburgh, PA 15211
Mineo's Pizza House,3.5,268,$,Pizza,40.43286,-79.9232,2128 Murray Ave,Pittsburgh, PA 15217
Pasha Cafe Lounge,4.5,80,$$,Mediterranean,40.4510208759075,-79.9320307374001,808 Ivy St,Pittsburgh, PA 15232
The Melting Pot - Pittsburgh,4.0,146,$$$,Fondue,40.43325,-80.00445,125 W Station Square Dr,Pittsburgh, PA 15219
Mad Mex - Oakland,3.5,252,$$,Tex-Mex,40.438019,-79.954209,370 Atwood St,Pittsburgh, PA 15213
Caffe Mona La Bistro,4.0,193,$$,Breakfast & Brunch,40.465725,-79.95432,4200 Penn Ave,Pittsburgh, PA 15224
Whitfield,4.0,148,$$,American (New),40.46094,-79.92648,120 S Whitfield St,The Ace Hotel,Pittsburgh, PA 15206
Eddie V's Prime Seafood,4.5,88,$$$,Steakhouses,40.43994,-79.99703,501 Grant St,Pittsburgh, PA 15219
Sushi Fuku,4.0,136,$,Sushi Bars,40.44166,-79.95734,120 Oakland Ave,Pittsburgh, PA 15213
Pizzaiolo Primo,3.5,190,$$,Italian,40.44029,-80.00214,8 Market Sq,Pittsburgh, PA 15222
Aiello's Pizza,4.0,192,$,Pizza,40.43326,-79.92324,2112 Murray Ave,Pittsburgh, PA 15217
The Colombian Spot,4.5,60,$$,Colombian,40.428796,-79.976795,2019 E Carson St,Pittsburgh, PA 15203
Istanbul Grille,4.5,63,$,Turkish,40.441355,-79.994853,600 Grant St,Pittsburgh, PA 15219
Crepes Parisiennes,4.0,133,$$,Creperies,40.4460678100586,-79.9486389160156,207 S Craig St,Pittsburgh, PA 15213
Jade Grille,4.0,161,$$,Szechuan,40.3805957,-80.0448481,670 Washington Rd,Pittsburgh, PA 15228
